
TimeEdit,Universiti Malaya
"WIE3012, ANALITIK DAN KEPINTARAN PERNIAGAAN,WIE3007, PERLOMBONGAN DAN PERGUDANGAN DATA,WIE3010, VISUALISASI DATA,GQO0064, PENGENALAN KEPADA TUMBUH-TUMBUHAN PERUBATAN,WIA3003, PROJEK AKADEMIK II,GKK1001, KHIDMAT KOMUNITI",07/10/2024 - 15/02/2025 Mon-Fri,
Begin date,Begin time,End date,End time,Module,Module Offering,Activity,Activity Type (exam),Room 
17/10/2024,17:00,17/10/2024,19:00,KHIDMAT KOMUNITI,GKK1001/2024/S1/1,ONLINE,,ONLINE LECTURE
18/10/2024,10:00,18/10/2024,12:00,PENGENALAN KEPADA TUMBUH-TUMBUHAN PERUBATAN,GQO0064/2024/S1/1,ONLINE,,ONLINE LECTURE
18/10/2024,15:00,18/10/2024,17:00,"ANALISIS DAN KEPINTARAN PERNIAGAAN,ANALITIK DAN KEPINTARAN PERNIAGAAN","WIE3008/2024/S1/1,WIE3008/2024/S1/2,WIE3012/2024/S1/1,WIE3012/2024/S1/2",LECTURE,,"BILIK KULIAH FSKTM,DEWAN KULIAH 2 FSKTM"
21/10/2024,10:00,21/10/2024,11:00,VISUALISASI DATA,WIE3010/2024/S1/1,TUTORIAL,,MAKMAL MIKRO 4 FSKTM
21/10/2024,11:00,21/10/2024,12:00,VISUALISASI DATA,"WIE3010/2024/S1/1M,WIE3010/2024/S1/2",TUTORIAL,,MAKMAL MIKRO 4 FSKTM
22/10/2024,16:00,22/10/2024,18:00,VISUALISASI DATA,"WIE3010/2024/S1/1,WIE3010/2024/S1/1M,WIE3010/2024/S1/2",LECTURE,,BILIK KULIAH FSKTM
23/10/2024,14:00,23/10/2024,15:00,PERLOMBONGAN DAN PERGUDANGAN DATA,WIE3007/2024/S1/1,TUTORIAL,,MAKMAL MIKRO 3 FSKTM
24/10/2024,12:00,24/10/2024,14:00,PERLOMBONGAN DAN PERGUDANGAN DATA,WIE3007/2024/S1/1,LECTURE,,BILIK KULIAH FSKTM
24/10/2024,16:00,24/10/2024,17:00,"ANALISIS DAN KEPINTARAN PERNIAGAAN,ANALITIK DAN KEPINTARAN PERNIAGAAN","WIE3008/2024/S1/1,WIE3012/2024/S1/1",TUTORIAL,,BILIK KULIAH FSKTM
24/10/2024,17:00,24/10/2024,18:00,"ANALISIS DAN KEPINTARAN PERNIAGAAN,ANALITIK DAN KEPINTARAN PERNIAGAAN","WIE3008/2024/S1/2,WIE3012/2024/S1/2",TUTORIAL,,BILIK KULIAH FSKTM
24/10/2024,17:00,24/10/2024,19:00,KHIDMAT KOMUNITI,GKK1001/2024/S1/1,ONLINE,,ONLINE LECTURE
25/10/2024,10:00,25/10/2024,12:00,PENGENALAN KEPADA TUMBUH-TUMBUHAN PERUBATAN,GQO0064/2024/S1/1,ONLINE,,ONLINE LECTURE
25/10/2024,15:00,25/10/2024,17:00,"ANALISIS DAN KEPINTARAN PERNIAGAAN,ANALITIK DAN KEPINTARAN PERNIAGAAN","WIE3008/2024/S1/1,WIE3008/2024/S1/2,WIE3012/2024/S1/1,WIE3012/2024/S1/2",LECTURE,,"BILIK KULIAH FSKTM,DEWAN KULIAH 2 FSKTM"
28/10/2024,10:00,28/10/2024,11:00,VISUALISASI DATA,WIE3010/2024/S1/1,TUTORIAL,,MAKMAL MIKRO 4 FSKTM
28/10/2024,11:00,28/10/2024,12:00,VISUALISASI DATA,"WIE3010/2024/S1/1M,WIE3010/2024/S1/2",TUTORIAL,,MAKMAL MIKRO 4 FSKTM
29/10/2024,16:00,29/10/2024,18:00,VISUALISASI DATA,"WIE3010/2024/S1/1,WIE3010/2024/S1/1M,WIE3010/2024/S1/2",LECTURE,,BILIK KULIAH FSKTM
30/10/2024,14:00,30/10/2024,15:00,PERLOMBONGAN DAN PERGUDANGAN DATA,WIE3007/2024/S1/1,TUTORIAL,,MAKMAL MIKRO 3 FSKTM
31/10/2024,12:00,31/10/2024,14:00,PERLOMBONGAN DAN PERGUDANGAN DATA,WIE3007/2024/S1/1,LECTURE,,BILIK KULIAH FSKTM
31/10/2024,16:00,31/10/2024,17:00,"ANALISIS DAN KEPINTARAN PERNIAGAAN,ANALITIK DAN KEPINTARAN PERNIAGAAN","WIE3008/2024/S1/1,WIE3012/2024/S1/1",TUTORIAL,,BILIK KULIAH FSKTM
31/10/2024,17:00,31/10/2024,18:00,"ANALISIS DAN KEPINTARAN PERNIAGAAN,ANALITIK DAN KEPINTARAN PERNIAGAAN","WIE3008/2024/S1/2,WIE3012/2024/S1/2",TUTORIAL,,BILIK KULIAH FSKTM
31/10/2024,17:00,31/10/2024,19:00,KHIDMAT KOMUNITI,GKK1001/2024/S1/1,ONLINE,,ONLINE LECTURE
01/11/2024,10:00,01/11/2024,12:00,PENGENALAN KEPADA TUMBUH-TUMBUHAN PERUBATAN,GQO0064/2024/S1/1,ONLINE,,ONLINE LECTURE
01/11/2024,15:00,01/11/2024,17:00,"ANALISIS DAN KEPINTARAN PERNIAGAAN,ANALITIK DAN KEPINTARAN PERNIAGAAN","WIE3008/2024/S1/1,WIE3008/2024/S1/2,WIE3012/2024/S1/1,WIE3012/2024/S1/2",LECTURE,,"BILIK KULIAH FSKTM,DEWAN KULIAH 2 FSKTM"
04/11/2024,10:00,04/11/2024,11:00,VISUALISASI DATA,WIE3010/2024/S1/1,TUTORIAL,,MAKMAL MIKRO 4 FSKTM
04/11/2024,11:00,04/11/2024,12:00,VISUALISASI DATA,"WIE3010/2024/S1/1M,WIE3010/2024/S1/2",TUTORIAL,,MAKMAL MIKRO 4 FSKTM
05/11/2024,16:00,05/11/2024,18:00,VISUALISASI DATA,"WIE3010/2024/S1/1,WIE3010/2024/S1/1M,WIE3010/2024/S1/2",LECTURE,,BILIK KULIAH FSKTM
06/11/2024,14:00,06/11/2024,15:00,PERLOMBONGAN DAN PERGUDANGAN DATA,WIE3007/2024/S1/1,TUTORIAL,,MAKMAL MIKRO 3 FSKTM
07/11/2024,12:00,07/11/2024,14:00,PERLOMBONGAN DAN PERGUDANGAN DATA,WIE3007/2024/S1/1,LECTURE,,BILIK KULIAH FSKTM
07/11/2024,16:00,07/11/2024,17:00,"ANALISIS DAN KEPINTARAN PERNIAGAAN,ANALITIK DAN KEPINTARAN PERNIAGAAN","WIE3008/2024/S1/1,WIE3012/2024/S1/1",TUTORIAL,,BILIK KULIAH FSKTM
07/11/2024,17:00,07/11/2024,18:00,"ANALISIS DAN KEPINTARAN PERNIAGAAN,ANALITIK DAN KEPINTARAN PERNIAGAAN","WIE3008/2024/S1/2,WIE3012/2024/S1/2",TUTORIAL,,BILIK KULIAH FSKTM
07/11/2024,17:00,07/11/2024,19:00,KHIDMAT KOMUNITI,GKK1001/2024/S1/1,ONLINE,,ONLINE LECTURE
08/11/2024,10:00,08/11/2024,12:00,PENGENALAN KEPADA TUMBUH-TUMBUHAN PERUBATAN,GQO0064/2024/S1/1,ONLINE,,ONLINE LECTURE
08/11/2024,15:00,08/11/2024,17:00,"ANALISIS DAN KEPINTARAN PERNIAGAAN,ANALITIK DAN KEPINTARAN PERNIAGAAN","WIE3008/2024/S1/1,WIE3008/2024/S1/2,WIE3012/2024/S1/1,WIE3012/2024/S1/2",LECTURE,,"BILIK KULIAH FSKTM,DEWAN KULIAH 2 FSKTM"
11/11/2024,10:00,11/11/2024,11:00,VISUALISASI DATA,WIE3010/2024/S1/1,TUTORIAL,,MAKMAL MIKRO 4 FSKTM
11/11/2024,11:00,11/11/2024,12:00,VISUALISASI DATA,"WIE3010/2024/S1/1M,WIE3010/2024/S1/2",TUTORIAL,,MAKMAL MIKRO 4 FSKTM
12/11/2024,16:00,12/11/2024,18:00,VISUALISASI DATA,"WIE3010/2024/S1/1,WIE3010/2024/S1/1M,WIE3010/2024/S1/2",LECTURE,,BILIK KULIAH FSKTM
13/11/2024,14:00,13/11/2024,15:00,PERLOMBONGAN DAN PERGUDANGAN DATA,WIE3007/2024/S1/1,TUTORIAL,,MAKMAL MIKRO 3 FSKTM
14/11/2024,12:00,14/11/2024,14:00,PERLOMBONGAN DAN PERGUDANGAN DATA,WIE3007/2024/S1/1,LECTURE,,BILIK KULIAH FSKTM
14/11/2024,16:00,14/11/2024,17:00,"ANALISIS DAN KEPINTARAN PERNIAGAAN,ANALITIK DAN KEPINTARAN PERNIAGAAN","WIE3008/2024/S1/1,WIE3012/2024/S1/1",TUTORIAL,,BILIK KULIAH FSKTM
14/11/2024,17:00,14/11/2024,18:00,"ANALISIS DAN KEPINTARAN PERNIAGAAN,ANALITIK DAN KEPINTARAN PERNIAGAAN","WIE3008/2024/S1/2,WIE3012/2024/S1/2",TUTORIAL,,BILIK KULIAH FSKTM
14/11/2024,17:00,14/11/2024,19:00,KHIDMAT KOMUNITI,GKK1001/2024/S1/1,ONLINE,,ONLINE LECTURE
15/11/2024,10:00,15/11/2024,12:00,PENGENALAN KEPADA TUMBUH-TUMBUHAN PERUBATAN,GQO0064/2024/S1/1,ONLINE,,ONLINE LECTURE
15/11/2024,15:00,15/11/2024,17:00,"ANALISIS DAN KEPINTARAN PERNIAGAAN,ANALITIK DAN KEPINTARAN PERNIAGAAN","WIE3008/2024/S1/1,WIE3008/2024/S1/2,WIE3012/2024/S1/1,WIE3012/2024/S1/2",LECTURE,,"BILIK KULIAH FSKTM,DEWAN KULIAH 2 FSKTM"
18/11/2024,10:00,18/11/2024,11:00,VISUALISASI DATA,WIE3010/2024/S1/1,TUTORIAL,,MAKMAL MIKRO 4 FSKTM
18/11/2024,11:00,18/11/2024,12:00,VISUALISASI DATA,"WIE3010/2024/S1/1M,WIE3010/2024/S1/2",TUTORIAL,,MAKMAL MIKRO 4 FSKTM
19/11/2024,16:00,19/11/2024,18:00,VISUALISASI DATA,"WIE3010/2024/S1/1,WIE3010/2024/S1/1M,WIE3010/2024/S1/2",LECTURE,,BILIK KULIAH FSKTM
20/11/2024,14:00,20/11/2024,15:00,PERLOMBONGAN DAN PERGUDANGAN DATA,WIE3007/2024/S1/1,TUTORIAL,,MAKMAL MIKRO 3 FSKTM
21/11/2024,12:00,21/11/2024,14:00,PERLOMBONGAN DAN PERGUDANGAN DATA,WIE3007/2024/S1/1,LECTURE,,BILIK KULIAH FSKTM
21/11/2024,16:00,21/11/2024,17:00,"ANALISIS DAN KEPINTARAN PERNIAGAAN,ANALITIK DAN KEPINTARAN PERNIAGAAN","WIE3008/2024/S1/1,WIE3012/2024/S1/1",TUTORIAL,,BILIK KULIAH FSKTM
21/11/2024,17:00,21/11/2024,18:00,"ANALISIS DAN KEPINTARAN PERNIAGAAN,ANALITIK DAN KEPINTARAN PERNIAGAAN","WIE3008/2024/S1/2,WIE3012/2024/S1/2",TUTORIAL,,BILIK KULIAH FSKTM
21/11/2024,17:00,21/11/2024,19:00,KHIDMAT KOMUNITI,GKK1001/2024/S1/1,ONLINE,,ONLINE LECTURE
22/11/2024,10:00,22/11/2024,12:00,PENGENALAN KEPADA TUMBUH-TUMBUHAN PERUBATAN,GQO0064/2024/S1/1,ONLINE,,ONLINE LECTURE
22/11/2024,15:00,22/11/2024,17:00,"ANALISIS DAN KEPINTARAN PERNIAGAAN,ANALITIK DAN KEPINTARAN PERNIAGAAN","WIE3008/2024/S1/1,WIE3008/2024/S1/2,WIE3012/2024/S1/1,WIE3012/2024/S1/2",LECTURE,,"BILIK KULIAH FSKTM,DEWAN KULIAH 2 FSKTM"
02/12/2024,10:00,02/12/2024,11:00,VISUALISASI DATA,WIE3010/2024/S1/1,TUTORIAL,,MAKMAL MIKRO 4 FSKTM
02/12/2024,11:00,02/12/2024,12:00,VISUALISASI DATA,"WIE3010/2024/S1/1M,WIE3010/2024/S1/2",TUTORIAL,,MAKMAL MIKRO 4 FSKTM
03/12/2024,16:00,03/12/2024,18:00,VISUALISASI DATA,"WIE3010/2024/S1/1,WIE3010/2024/S1/1M,WIE3010/2024/S1/2",LECTURE,,BILIK KULIAH FSKTM
04/12/2024,14:00,04/12/2024,15:00,PERLOMBONGAN DAN PERGUDANGAN DATA,WIE3007/2024/S1/1,TUTORIAL,,MAKMAL MIKRO 3 FSKTM
05/12/2024,12:00,05/12/2024,14:00,PERLOMBONGAN DAN PERGUDANGAN DATA,WIE3007/2024/S1/1,LECTURE,,BILIK KULIAH FSKTM
05/12/2024,16:00,05/12/2024,17:00,"ANALISIS DAN KEPINTARAN PERNIAGAAN,ANALITIK DAN KEPINTARAN PERNIAGAAN","WIE3008/2024/S1/1,WIE3012/2024/S1/1",TUTORIAL,,BILIK KULIAH FSKTM
05/12/2024,17:00,05/12/2024,18:00,"ANALISIS DAN KEPINTARAN PERNIAGAAN,ANALITIK DAN KEPINTARAN PERNIAGAAN","WIE3008/2024/S1/2,WIE3012/2024/S1/2",TUTORIAL,,BILIK KULIAH FSKTM
05/12/2024,17:00,05/12/2024,19:00,KHIDMAT KOMUNITI,GKK1001/2024/S1/1,ONLINE,,ONLINE LECTURE
06/12/2024,10:00,06/12/2024,12:00,PENGENALAN KEPADA TUMBUH-TUMBUHAN PERUBATAN,GQO0064/2024/S1/1,ONLINE,,ONLINE LECTURE
06/12/2024,15:00,06/12/2024,17:00,"ANALISIS DAN KEPINTARAN PERNIAGAAN,ANALITIK DAN KEPINTARAN PERNIAGAAN","WIE3008/2024/S1/1,WIE3008/2024/S1/2,WIE3012/2024/S1/1,WIE3012/2024/S1/2",LECTURE,,"BILIK KULIAH FSKTM,DEWAN KULIAH 2 FSKTM"
09/12/2024,10:00,09/12/2024,11:00,VISUALISASI DATA,WIE3010/2024/S1/1,TUTORIAL,,MAKMAL MIKRO 4 FSKTM
09/12/2024,11:00,09/12/2024,12:00,VISUALISASI DATA,"WIE3010/2024/S1/1M,WIE3010/2024/S1/2",TUTORIAL,,MAKMAL MIKRO 4 FSKTM
10/12/2024,16:00,10/12/2024,18:00,VISUALISASI DATA,"WIE3010/2024/S1/1,WIE3010/2024/S1/1M,WIE3010/2024/S1/2",LECTURE,,BILIK KULIAH FSKTM
11/12/2024,14:00,11/12/2024,15:00,PERLOMBONGAN DAN PERGUDANGAN DATA,WIE3007/2024/S1/1,TUTORIAL,,MAKMAL MIKRO 3 FSKTM
12/12/2024,12:00,12/12/2024,14:00,PERLOMBONGAN DAN PERGUDANGAN DATA,WIE3007/2024/S1/1,LECTURE,,BILIK KULIAH FSKTM
12/12/2024,16:00,12/12/2024,17:00,"ANALISIS DAN KEPINTARAN PERNIAGAAN,ANALITIK DAN KEPINTARAN PERNIAGAAN","WIE3008/2024/S1/1,WIE3012/2024/S1/1",TUTORIAL,,BILIK KULIAH FSKTM
12/12/2024,17:00,12/12/2024,18:00,"ANALISIS DAN KEPINTARAN PERNIAGAAN,ANALITIK DAN KEPINTARAN PERNIAGAAN","WIE3008/2024/S1/2,WIE3012/2024/S1/2",TUTORIAL,,BILIK KULIAH FSKTM
12/12/2024,17:00,12/12/2024,19:00,KHIDMAT KOMUNITI,GKK1001/2024/S1/1,ONLINE,,ONLINE LECTURE
13/12/2024,10:00,13/12/2024,12:00,PENGENALAN KEPADA TUMBUH-TUMBUHAN PERUBATAN,GQO0064/2024/S1/1,ONLINE,,ONLINE LECTURE
13/12/2024,15:00,13/12/2024,17:00,"ANALISIS DAN KEPINTARAN PERNIAGAAN,ANALITIK DAN KEPINTARAN PERNIAGAAN","WIE3008/2024/S1/1,WIE3008/2024/S1/2,WIE3012/2024/S1/1,WIE3012/2024/S1/2",LECTURE,,"BILIK KULIAH FSKTM,DEWAN KULIAH 2 FSKTM"
16/12/2024,10:00,16/12/2024,11:00,VISUALISASI DATA,WIE3010/2024/S1/1,TUTORIAL,,MAKMAL MIKRO 4 FSKTM
16/12/2024,11:00,16/12/2024,12:00,VISUALISASI DATA,"WIE3010/2024/S1/1M,WIE3010/2024/S1/2",TUTORIAL,,MAKMAL MIKRO 4 FSKTM
17/12/2024,16:00,17/12/2024,18:00,VISUALISASI DATA,"WIE3010/2024/S1/1,WIE3010/2024/S1/1M,WIE3010/2024/S1/2",LECTURE,,BILIK KULIAH FSKTM
18/12/2024,14:00,18/12/2024,15:00,PERLOMBONGAN DAN PERGUDANGAN DATA,WIE3007/2024/S1/1,TUTORIAL,,MAKMAL MIKRO 3 FSKTM
19/12/2024,12:00,19/12/2024,14:00,PERLOMBONGAN DAN PERGUDANGAN DATA,WIE3007/2024/S1/1,LECTURE,,BILIK KULIAH FSKTM
19/12/2024,16:00,19/12/2024,17:00,"ANALISIS DAN KEPINTARAN PERNIAGAAN,ANALITIK DAN KEPINTARAN PERNIAGAAN","WIE3008/2024/S1/1,WIE3012/2024/S1/1",TUTORIAL,,BILIK KULIAH FSKTM
19/12/2024,17:00,19/12/2024,18:00,"ANALISIS DAN KEPINTARAN PERNIAGAAN,ANALITIK DAN KEPINTARAN PERNIAGAAN","WIE3008/2024/S1/2,WIE3012/2024/S1/2",TUTORIAL,,BILIK KULIAH FSKTM
19/12/2024,17:00,19/12/2024,19:00,KHIDMAT KOMUNITI,GKK1001/2024/S1/1,ONLINE,,ONLINE LECTURE
20/12/2024,10:00,20/12/2024,12:00,PENGENALAN KEPADA TUMBUH-TUMBUHAN PERUBATAN,GQO0064/2024/S1/1,ONLINE,,ONLINE LECTURE
20/12/2024,15:00,20/12/2024,17:00,"ANALISIS DAN KEPINTARAN PERNIAGAAN,ANALITIK DAN KEPINTARAN PERNIAGAAN","WIE3008/2024/S1/1,WIE3008/2024/S1/2,WIE3012/2024/S1/1,WIE3012/2024/S1/2",LECTURE,,"BILIK KULIAH FSKTM,DEWAN KULIAH 2 FSKTM"
23/12/2024,10:00,23/12/2024,11:00,VISUALISASI DATA,WIE3010/2024/S1/1,TUTORIAL,,MAKMAL MIKRO 4 FSKTM
23/12/2024,11:00,23/12/2024,12:00,VISUALISASI DATA,"WIE3010/2024/S1/1M,WIE3010/2024/S1/2",TUTORIAL,,MAKMAL MIKRO 4 FSKTM
24/12/2024,16:00,24/12/2024,18:00,VISUALISASI DATA,"WIE3010/2024/S1/1,WIE3010/2024/S1/1M,WIE3010/2024/S1/2",LECTURE,,BILIK KULIAH FSKTM
25/12/2024,14:00,25/12/2024,15:00,PERLOMBONGAN DAN PERGUDANGAN DATA,WIE3007/2024/S1/1,TUTORIAL,,MAKMAL MIKRO 3 FSKTM
26/12/2024,12:00,26/12/2024,14:00,PERLOMBONGAN DAN PERGUDANGAN DATA,WIE3007/2024/S1/1,LECTURE,,BILIK KULIAH FSKTM
26/12/2024,16:00,26/12/2024,17:00,"ANALISIS DAN KEPINTARAN PERNIAGAAN,ANALITIK DAN KEPINTARAN PERNIAGAAN","WIE3008/2024/S1/1,WIE3012/2024/S1/1",TUTORIAL,,BILIK KULIAH FSKTM
26/12/2024,17:00,26/12/2024,18:00,"ANALISIS DAN KEPINTARAN PERNIAGAAN,ANALITIK DAN KEPINTARAN PERNIAGAAN","WIE3008/2024/S1/2,WIE3012/2024/S1/2",TUTORIAL,,BILIK KULIAH FSKTM
26/12/2024,17:00,26/12/2024,19:00,KHIDMAT KOMUNITI,GKK1001/2024/S1/1,ONLINE,,ONLINE LECTURE
27/12/2024,10:00,27/12/2024,12:00,PENGENALAN KEPADA TUMBUH-TUMBUHAN PERUBATAN,GQO0064/2024/S1/1,ONLINE,,ONLINE LECTURE
27/12/2024,15:00,27/12/2024,17:00,"ANALISIS DAN KEPINTARAN PERNIAGAAN,ANALITIK DAN KEPINTARAN PERNIAGAAN","WIE3008/2024/S1/1,WIE3008/2024/S1/2,WIE3012/2024/S1/1,WIE3012/2024/S1/2",LECTURE,,"BILIK KULIAH FSKTM,DEWAN KULIAH 2 FSKTM"
30/12/2024,10:00,30/12/2024,11:00,VISUALISASI DATA,WIE3010/2024/S1/1,TUTORIAL,,MAKMAL MIKRO 4 FSKTM
30/12/2024,11:00,30/12/2024,12:00,VISUALISASI DATA,"WIE3010/2024/S1/1M,WIE3010/2024/S1/2",TUTORIAL,,MAKMAL MIKRO 4 FSKTM
31/12/2024,16:00,31/12/2024,18:00,VISUALISASI DATA,"WIE3010/2024/S1/1,WIE3010/2024/S1/1M,WIE3010/2024/S1/2",LECTURE,,BILIK KULIAH FSKTM
01/01/2025,14:00,01/01/2025,15:00,PERLOMBONGAN DAN PERGUDANGAN DATA,WIE3007/2024/S1/1,TUTORIAL,,MAKMAL MIKRO 3 FSKTM
02/01/2025,12:00,02/01/2025,14:00,PERLOMBONGAN DAN PERGUDANGAN DATA,WIE3007/2024/S1/1,LECTURE,,BILIK KULIAH FSKTM
02/01/2025,16:00,02/01/2025,17:00,"ANALISIS DAN KEPINTARAN PERNIAGAAN,ANALITIK DAN KEPINTARAN PERNIAGAAN","WIE3008/2024/S1/1,WIE3012/2024/S1/1",TUTORIAL,,BILIK KULIAH FSKTM
02/01/2025,17:00,02/01/2025,18:00,"ANALISIS DAN KEPINTARAN PERNIAGAAN,ANALITIK DAN KEPINTARAN PERNIAGAAN","WIE3008/2024/S1/2,WIE3012/2024/S1/2",TUTORIAL,,BILIK KULIAH FSKTM
02/01/2025,17:00,02/01/2025,19:00,KHIDMAT KOMUNITI,GKK1001/2024/S1/1,ONLINE,,ONLINE LECTURE
03/01/2025,10:00,03/01/2025,12:00,PENGENALAN KEPADA TUMBUH-TUMBUHAN PERUBATAN,GQO0064/2024/S1/1,ONLINE,,ONLINE LECTURE
03/01/2025,15:00,03/01/2025,17:00,"ANALISIS DAN KEPINTARAN PERNIAGAAN,ANALITIK DAN KEPINTARAN PERNIAGAAN","WIE3008/2024/S1/1,WIE3008/2024/S1/2,WIE3012/2024/S1/1,WIE3012/2024/S1/2",LECTURE,,"BILIK KULIAH FSKTM,DEWAN KULIAH 2 FSKTM"
06/01/2025,10:00,06/01/2025,11:00,VISUALISASI DATA,WIE3010/2024/S1/1,TUTORIAL,,MAKMAL MIKRO 4 FSKTM
06/01/2025,11:00,06/01/2025,12:00,VISUALISASI DATA,"WIE3010/2024/S1/1M,WIE3010/2024/S1/2",TUTORIAL,,MAKMAL MIKRO 4 FSKTM
07/01/2025,16:00,07/01/2025,18:00,VISUALISASI DATA,"WIE3010/2024/S1/1,WIE3010/2024/S1/1M,WIE3010/2024/S1/2",LECTURE,,BILIK KULIAH FSKTM
08/01/2025,14:00,08/01/2025,15:00,PERLOMBONGAN DAN PERGUDANGAN DATA,WIE3007/2024/S1/1,TUTORIAL,,MAKMAL MIKRO 3 FSKTM
09/01/2025,12:00,09/01/2025,14:00,PERLOMBONGAN DAN PERGUDANGAN DATA,WIE3007/2024/S1/1,LECTURE,,BILIK KULIAH FSKTM
09/01/2025,16:00,09/01/2025,17:00,"ANALISIS DAN KEPINTARAN PERNIAGAAN,ANALITIK DAN KEPINTARAN PERNIAGAAN","WIE3008/2024/S1/1,WIE3012/2024/S1/1",TUTORIAL,,BILIK KULIAH FSKTM
09/01/2025,17:00,09/01/2025,18:00,"ANALISIS DAN KEPINTARAN PERNIAGAAN,ANALITIK DAN KEPINTARAN PERNIAGAAN","WIE3008/2024/S1/2,WIE3012/2024/S1/2",TUTORIAL,,BILIK KULIAH FSKTM
09/01/2025,17:00,09/01/2025,19:00,KHIDMAT KOMUNITI,GKK1001/2024/S1/1,ONLINE,,ONLINE LECTURE
10/01/2025,10:00,10/01/2025,12:00,PENGENALAN KEPADA TUMBUH-TUMBUHAN PERUBATAN,GQO0064/2024/S1/1,ONLINE,,ONLINE LECTURE
10/01/2025,15:00,10/01/2025,17:00,"ANALISIS DAN KEPINTARAN PERNIAGAAN,ANALITIK DAN KEPINTARAN PERNIAGAAN","WIE3008/2024/S1/1,WIE3008/2024/S1/2,WIE3012/2024/S1/1,WIE3012/2024/S1/2",LECTURE,,"BILIK KULIAH FSKTM,DEWAN KULIAH 2 FSKTM"
